name,description,url
Overconfidence Analyzer,Discover how accurate your confidence levels are likely to be for any skill.,https://programs.clearerthinking.org/overconfidence_analyzer.html
Pathkeeper,"Track your goals and progress to stay on target and achieve more, with optional accountability features.",https://programs.clearerthinking.org/pathkeeper_intro.html
Political Bias Test,"Learn how to spot and overcome your political biases, and test your policy knowledge!",https://programs.clearerthinking.org/political_bias_test.html
Practice Self-Compassion,"See how self-compassionate you are, then learn and practice two simple techniques to help develop more self-compassion.",https://programs.clearerthinking.org/practice_self-compassion.html
Predict Correlations,How well do you understand human psychology? Predict how strongly agreement with one statement correlates with agreement with another.,https://programs.clearerthinking.org/predict_correlations.html
Productive Disagreements,Strengthen your relationships through constructive arguments. Practice arguing with an A.I. to hone your communication skills!,https://programs.clearerthinking.org/productive_disagreement.html
Program Yourself to Improve Your Life,"Train yourself to implement positive actions in your day-to-day life with simple ""if-then"" rules.",https://programs.clearerthinking.org/program_yourself.html
Question Your Identity,Why do you believe what you do? Learn how the way you see yourself influences the beliefs that you choose to hold.,https://programs.clearerthinking.org/question_your_identity.html
Reframing Negative Emotions,"Learn to reframe upsetting situations, find alternatives to self-criticism, and tap into past strengths to move forward.",https://programs.clearerthinking.org/reframing_negative_emotions.html
Replace Unhelpful Coping Strategies,Learn which coping strategies backfire and how to replace them with healthier long-term approaches.,https://programs.clearerthinking.org/replace_unhelpful_coping_strategies.html
Resolve Harmful Situations,Facing a challenging or harmful situation? Think through your options with a simple decision-making framework.,https://programs.clearerthinking.org/EARR_framework.html
Retrocaster,Sharpen your prediction skills by finding the hidden trends in charts about global problems.,https://www.clearerthinking.org/tools/retrocaster
Rhetorical Fallacies,Bad arguments are all around us. Train yourself to instantly detect common reasoning errors that often go unnoticed.,https://programs.clearerthinking.org/rhetorical_fallacies.html
Savor Your Life,"Learn a skill from positive psychology to boost happiness, lift your mood, and build lasting positivity.",https://programs.clearerthinking.org/savoring.html
Seeking Outside Criticism,"Make a plan to ask for specific, honest criticism on an aspect of yourself that you'd like to improve.",https://programs.clearerthinking.org/seek_criticism_tool.html
Skeptical Seekers,Do you have the personality traits that help uncover true things about the world? Find out in minutes.,https://programs.clearerthinking.org/skeptical_seekers.html
Spark the Mood You Want,"Create A Mood Association: learn to generate a mental state of your choice in the situation you want using a quick, reliable technique.",https://programs.clearerthinking.org/spark_the_mood_you_want.html
Surpass Self-Limiting Beliefs,False or exaggerated beliefs about ourselves can hold us back and harm our relationships. Learn to overcome them with three simple strategies!,https://programs.clearerthinking.org/surpass_self-limiting-beliefs.html
Tactics for Happier Living,Receive a tailored set of activities that can support you in adding fulfillment and meaning to your life.,https://programs.clearerthinking.org/tactics_for_happier_living.html
The Art of Collaboration,"Get tips for better collaborative structures, and our checklist for effective collaboration.",https://programs.clearerthinking.org/art_of_collaboration.html
The Belief Challenger,Refine your beliefs and form more accurate views by examining the connection between what you believe and how you act.,https://programs.clearerthinking.org/challenge_your_deepest_beliefs.html
The Common Misconceptions Test,Separate fact from B.S. while identifying the misconceptions among 30 common beliefs.,https://programs.clearerthinking.org/common_misconceptions.html
The Confrontation Aid,Learn the skills to have an effective confrontation using techniques recommended by experts in conflict resolution.,https://programs.clearerthinking.org/confrontation_aid.html
The Decision Advisor,"Organize your thoughts and weigh options numerically when facing challenging, complex, or emotionally charged decisions.",https://programs.clearerthinking.org/decisionmaker.html
The Entrepreneur Test,Assess your strengths and weaknesses as a potential startup founder. See if you have what it takes to succeed!,https://programs.clearerthinking.org/would_you_make_a_good_tech_startup_founder.html
The Hidden Meaning of Sounds,Learn about how certain sounds can have a particular connotation or meaning by finding out what sound fits your personality best.,https://programs.clearerthinking.org/hidden_meaning_of_sounds.html
The Imposter Syndrome Test,Discover your experiences with imposter syndrome and learn strategies to combat imposter feelings.,https://programs.clearerthinking.org/imposter_syndrome.html
The Intrinsic Values Test,"Find out what you value most in the world, and compare those values to others'.",https://programs.clearerthinking.org/intrinsic_values_test.html
The Planning Fallacy,Ever notice projects take longer than expected? Learn why and become a more reliable planner.,https://programs.clearerthinking.org/planning_fallacy.html
The Question of Evidence,Sharpen your predictions by learning about Bayes' rule and interpreting evidence more effectively.,https://programs.clearerthinking.org/question_of_evidence.html
The Relationship Review,"Examine different aspects of your relationship with a partner, close friend, or family member using an open, non-judgmental approach.",https://programs.clearerthinking.org/relationship_review.html
The Sunk Cost Fallacy,"When we have invested heavily in a project, it can be difficult to evaluate it objectively. Learn about why this happens and how to combat it.",https://programs.clearerthinking.org/sunk_costs.html
The Ultimate Personality Test,"Find out which of our 16 personality types fits you best. And discover your Jungian (MBTI-inspired), Enneagram, and Big Five traits.",https://programs.clearerthinking.org/personality-test.html
Uncover Your Guiding Principles,"Build a list of simple rules to help you make better decisions, faster.",https://programs.clearerthinking.org/uncover_your_guiding_principles.html
Understanding Bayes Theorem,Learn the mathematical rule that governs the way statisticians and scientists handle evidence.,https://programs.clearerthinking.org/understanding_bayes_theorem.html
Value Of Your Time Calculator,"Make better decisions based on the value of your time, such as whether to take on more part-time work or hire help.",https://programs.clearerthinking.org/what_is_your_time_really_worth_to_you.html
What Causes Match Your Values?,Find a charity that matches your altruistic priorities and is highly effective at advancing its chosen mission.,https://programs.clearerthinking.org/what_causes_match_your_values.html
What Makes an Effective Goal?,"Learn techniques on how to set effective goals, and accomplish more in less time.",https://programs.clearerthinking.org/goal_trainer_ct.html
What to Know About Suicide,Tips on how to recognize if someone is at risk of suicide and advice on how to speak to them about it from experts in suicide prevention.,https://programs.clearerthinking.org/what_to_know_about_suicide.html
When Are You Overconfident?,Get a clearer sense of how you rate your own reasoning chops - and how your confidence compares to others.,https://programs.clearerthinking.org/should_you_trust_your_thinking.html
When To Stop Exploring,Make confident decisions when uncertainty strikes — discover a simple method to weigh options or commit to what you know.,https://programs.clearerthinking.org/when_to_stop_exploring.html
World's Biggest Problems Quiz,"Test your knowledge of some of the world's most pressing problems: global health, animal welfare, and existential risks to humanity.",https://programs.clearerthinking.org/worlds_biggest_problems_quiz.html
Your Greatest Sources of Pleasure,Discover what brings you the most joy and personal life satisfaction and review how to experience them more often.,https://programs.clearerthinking.org/sources_of_pleasure.html
Your Primal World Beliefs,"Explore the beliefs shaping your worldview: do you see safety or danger, meaning or emptiness, curiosity or boredom?",https://programs.clearerthinking.org/your_primal_world_beliefs.html
Your Quarterly Life Review,"Most of us can benefit from regularly reflecting on our lives, but few people make the time to do so. Let's make that easier!",https://programs.clearerthinking.org/your_quarterly_life_review.html
